Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Groups;Parent
CH;CH-GR-SS-DI;;GR-SS-DI;RM vischnanca,DE Gemeinde,FR commune,IT comune,EN municipality;RM Disentis/Mustér;RM;GR-VS;GR-PD
CH;CH-GR-SS-FA;;GR-SS-FA;RM vischnanca,DE Gemeinde,FR commune,IT comune,EN municipality;RM Falera;RM;GR-VS;GR-PD
CH;CH-GR-SS-IL;;GR-SS-IL;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Ilanz/Glion;DE;GR-VS;GR-PD
CH;CH-GR-SS-LA;;GR-SS-LA;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Laax;DE;GR-VS;GR-PD
CH;CH-GR-SS-LU;;GR-SS-LU;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Lumnezia;DE;GR-VS;GR-PD
CH;CH-GR-SS-ME;;GR-SS-ME;RM vischnanca,DE Gemeinde,FR commune,IT comune,EN municipality;RM Medel (Lucmagn);RM;GR-VS;GR-PD
CH;CH-GR-SS-OB;;GR-SS-OB;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Obersaxen Mundaun;DE;GR-VS;GR-PD
CH;CH-GR-SS-SF;;GR-SS-SF;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Safiental;DE;GR-VS;GR-PD
CH;CH-GR-SS-SG;;GR-SS-SG;RM vischnanca,DE Gemeinde,FR commune,IT comune,EN municipality;RM Sagogn;RM;GR-VS;GR-PD
CH;CH-GR-SS-SL;;GR-SS-SL;RM vischnanca,DE Gemeinde,FR commune,IT comune,EN municipality;RM Schluein;RM;GR-VS;GR-PD
CH;CH-GR-SS-SU;;GR-SS-SU;RM vischnanca,DE Gemeinde,FR commune,IT comune,EN municipality;RM Sumvitg;RM;GR-VS;GR-PD
CH;CH-GR-SS-TR;;GR-SS-TR;RM vischnanca,DE Gemeinde,FR commune,IT comune,EN municipality;RM Trun;RM;GR-VS;GR-PD
CH;CH-GR-SS-TU;;GR-SS-TU;RM vischnanca,DE Gemeinde,FR commune,IT comune,EN municipality;RM Tujetsch;RM;GR-VS;GR-PD
CH;CH-GR-SS-VA;;GR-SS-VA;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Vals;DE;GR-VS;GR-PD
CH;CH-GR-VM;;GR-VM;DE Region,RM regiun,IT regione,FR région,EN region;DE Viamala;DE;GR-VS;GR
CH;CH-GR-VM-AN;;GR-VM-AN;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Andeer;DE;GR-VS;GR-VM
CH;CH-GR-VM-AV;;GR-VM-AV;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Avers;DE;GR-VS;GR-VM
CH;CH-GR-VM-CA;;GR-VM-CA;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Cazis;DE;GR-VS;GR-VM
CH;CH-GR-VM-DO;;GR-VM-DO;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Domleschg;DE;GR-VS;GR-VM
CH;CH-GR-VM-FE;;GR-VM-FE;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Ferrera;DE;GR-VS;GR-VM
CH;CH-GR-VM-FL;;GR-VM-FL;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Flerden;DE;GR-VS;GR-VM
CH;CH-GR-VM-FU;;GR-VM-FU;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Fürstenau;DE;GR-VS;GR-VM
CH;CH-GR-VM-MA;;GR-VM-MA;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Masein;DE;GR-VS;GR-VM
CH;CH-GR-VM-MU;;GR-VM-MU;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Muntogna da Schons;DE;GR-VS;GR-VM
CH;CH-GR-VM-RG;;GR-VM-RG;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Rongellen;DE;GR-VS;GR-VM
CH;CH-GR-VM-RH;;GR-VM-RH;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Rheinwald;DE;GR-VS;GR-VM
CH;CH-GR-VM-RT;;GR-VM-RT;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Rothenbrunnen;DE;GR-VS;GR-VM
CH;CH-GR-VM-SA;;GR-VM-SA;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Scharans;DE;GR-VS;GR-VM
CH;CH-GR-VM-SI;;GR-VM-SI;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Sils im Domleschg;DE;GR-VS;GR-VM
