Id;Country;StartDate;EndDate;Type;RegionalScope;Status;Name;Subdivisions
604b377c-cfe0-42e1-8262-14c64eb6dfa3;PT;2020-08-19;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BR-ES
e8928cce-0a2c-4679-a11b-223f987e18f1;PT;2020-08-20;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;FA-AB,LE-AC,VC-VC
3df4ecbb-11de-4575-a10c-5a3a891eb11c;PT;2020-08-20;;Public;Local;Optional;PT Dia de São Bernardo,EN Day of St Bernard of Clairvaux,DE Tag des Heiligen Bernhard von Clairvaux;VI-ST
3b3b7f22-1c0d-4c24-a168-8ef2cde95ce8;PT;2020-08-21;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;MA-FU
114d6a0b-1b99-4320-af96-167b70534c32;PT;2020-08-22;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BA-BR
cc6e13b7-e62e-470c-9cac-cd7eaa7111f8;PT;2020-08-24;;Public;Local;Optional;PT Dia do padroeiro São Bartolomeu,EN St Bartholomew's Day,DE Patronatsfest des Heiligen Bartholomäus;BA-VF,PO-BA,VC-PB
cc641e23-270a-4173-bcdf-b81c51adc2c0;PT;2020-08-24;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CB-VV
b458a5b9-df46-47f1-a83d-d44390a36282;PT;2020-08-25;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;GU-PI,VI-PC
51e8cbf0-3ee2-4501-a48f-6c87f5c39de4;PT;2020-08-28;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BA-CA,BE-BA
111c386e-d1da-4b8e-831e-97f7035a046a;PT;2020-08-29;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;FA-AJ
ac926ba7-395f-45ef-8f53-aebeb6af174f;PT;2020-09-03;;Public;Local;Optional;PT Conquista da cidade aos mouros,EN Conquest of the city from the Moors,DE Eroberung der Stadt durch die Mauren;FA-SI
eb28c892-83f3-484e-90d8-bd7e25948173;PT;2020-09-07;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CO-AR,EV-VN,FA-FA
18f2097f-52b3-4126-a582-0b1786b86dac;PT;2020-09-08;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-MU,BE-OD,BE-OU,CO-MV,FA-LA,LE-NA,MA-PD,PA-MA,PO-MC,VI-LA,VI-MA,VR-SA
