Id;Country;StartDate;EndDate;Type;Names;Subdivisions;OUnits
a400f154-557f-4196-a735-849f3750ba95;CZ;2026-03-09;2026-03-15;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;LI-CL,LI-JN,LI-LB,LI-SM,VY-HB,VY-JI,VY-PE,VY-TR,VY-ZR,ST-KL,ST-KO,ST-KH,JC-PI,KR-NA,MO-BR;
2a57ea10-dd71-4d95-94a5-15f74302cc91;CZ;2026-04-02;2026-04-02;School;CS Velikonoční prázdniny,DE Osterferien,EN Easter holidays;;
b6e030c7-ad9f-4e79-b382-4a44ff10db59;CZ;2026-07-01;2026-08-31;School;CS Hlavní prázdniny,DE Sommerferien,EN Summer holidays;;
c5fdea9b-36b4-4474-a592-106bf508f6f3;CZ;2026-10-29;2026-10-30;School;CS Podzimní prázdniny,DE Herbstferien,EN Autumn holidays;;
83b3d8b1-d770-40b0-bf76-639d83ca2bed;CZ;2026-12-23;2027-01-03;School;CS Vánoční prázdniny,DE Weihnachtsferien,EN Christmas holidays;;
43de41e6-08de-49c6-954a-234653ed6ba4;CZ;2027-01-29;2027-01-29;School;CS Pololetní prázdniny,DE Semesterferien,EN Half-term holidays;;
168912fa-ceb2-4424-ac26-c03a9a383ffa;CZ;2027-02-01;2027-02-07;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;LI-CL,LI-JN,LI-LB,LI-SM,VY-HB,VY-JI,VY-PE,VY-TR,VY-ZR,ST-KL,ST-KO,ST-KH,JC-PI,KR-NA,MO-BR;
097d3501-13de-441a-9386-da9941c10a32;CZ;2027-02-08;2027-02-14;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-MB,ST-PB,JC-TA,JC-PT,JC-ST,US-UL,US-CV,US-MO,KR-JC,KR-RK,OL-OC,OL-SU,MO-OP,OL-JE;
59ff3bc2-44ae-4ac2-b535-1a3aaba2698b;CZ;2027-02-15;2027-02-21;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-BN,ST-BE,PL-RO,JC-CB,JC-CK,PL-KT,KR-TU,PA-PU,PA-CR,PA-SY,PA-UO,MO-OV,OL-PV;
fd6a1240-b86f-463d-b566-5b6b4b1597ca;CZ;2027-02-22;2027-02-28;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-1-5
f0a99c59-dc02-4671-92e8-ff6a018b1bd3;CZ;2027-02-22;2027-02-28;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;JM-BK,JM-BM,JM-BO,JM-BV,JM-HO,JM-VY,JM-ZN,PL-DO,PL-TC,US-LN,MO-KI;
2ca2c8f2-a06c-4563-a0a9-75cd77ad5b25;CZ;2027-03-01;2027-03-07;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-6-10
f88734a3-3175-452e-92b4-96a6084b735e;CZ;2027-03-01;2027-03-07;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;KA-CH,KA-KV,KA-SO,ST-NB,JC-JH,US-LT,US-DC,OL-PR,MO-FM;
19a18bfa-0306-4c47-a999-28d924fc1687;CZ;2027-03-08;2027-03-14;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ZL-KM,ZL-UH,ZL-VS,ZL-ZL,ST-PH,ST-PZ,ST-ME,ST-RA,PL-PJ,PL-PM,PL-PS,KR-HK,US-TP,MO-NJ;
ab7924a1-eea8-4cbb-bc12-d0f8d5261a93;CZ;2027-03-25;2027-03-25;School;CS Velikonoční prázdniny,DE Osterferien,EN Easter holidays;;
78622ff6-6db4-4bc3-903b-0626c3dbc887;CZ;2027-07-01;2027-08-31;School;CS Hlavní prázdniny,DE Sommerferien,EN Summer holidays;;
c900bc46-820a-410d-bede-be93634f8f4f;CZ;2027-10-27;2027-10-29;School;CS Podzimní prázdniny,DE Herbstferien,EN Autumn holidays;;
8c4c793e-5134-4c96-a1c6-a85f7832a8f4;CZ;2027-12-23;2028-01-02;School;CS Vánoční prázdniny,DE Weihnachtsferien,EN Christmas holidays;;
9eb6dc04-4df3-4c55-8b02-2e81b1d4ad0b;CZ;2028-02-04;2028-02-04;School;CS Pololetní prázdniny,DE Semesterferien,EN Half-term holidays;;
e21a15f6-c0e4-4f03-9202-669369bfd76b;CZ;2028-02-07;2028-02-13;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ZL-KM,ZL-UH,ZL-VS,ZL-ZL,ST-PH,ST-PZ,ST-ME,ST-RA,PL-PJ,PL-PM,PL-PS,KR-HK,US-TP,MO-NJ;
9a1752be-7737-443b-bef7-44b1643df5f6;CZ;2028-02-14;2028-02-20;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;LI-CL,LI-JN,LI-LB,LI-SM,VY-HB,VY-JI,VY-PE,VY-TR,VY-ZR,ST-KL,ST-KO,ST-KH,JC-PI,KR-NA,MO-BR;
55c95567-b94a-4f54-88fc-9611ec8ead90;CZ;2028-02-21;2028-02-27;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-MB,ST-PB,JC-TA,JC-PT,JC-ST,US-UL,US-CV,US-MO,KR-JC,KR-RK,OL-OC,OL-SU,MO-OP,OL-JE;
a020071b-31b2-430e-9931-7dc945bc32c0;CZ;2028-02-28;2028-03-05;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-BN,ST-BE,PL-RO,JC-CB,JC-CK,PL-KT,KR-TU,PA-PU,PA-CR,PA-SY,PA-UO,MO-OV,OL-PV;
83781f5f-e114-4960-9508-1aa385b96124;CZ;2028-03-06;2028-03-12;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-1-5
df61e74e-7457-4695-bae4-4e5027937c1c;CZ;2028-03-06;2028-03-12;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;JM-BK,JM-BM,JM-BO,JM-BV,JM-HO,JM-VY,JM-ZN,PL-DO,PL-TC,US-LN,MO-KI;
8d19d628-6315-4e84-8603-d8956de58c4f;CZ;2028-03-13;2028-03-19;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-6-10
0cbeb789-26a2-4df3-91f9-73741ce1eda8;CZ;2028-03-13;2028-03-19;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;KA-CH,KA-KV,KA-SO,ST-NB,JC-JH,US-LT,US-DC,OL-PR,MO-FM;
3dbd508a-3f16-47d1-bddf-f4d6891918bd;CZ;2028-04-13;2028-04-13;School;CS Velikonoční prázdniny,DE Osterferien,EN Easter holidays;;
e7b77bf2-850f-4a47-b9e0-3532d25081d0;CZ;2028-07-01;2028-09-03;School;CS Hlavní prázdniny,DE Sommerferien,EN Summer holidays;;
