Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions;Groups;Tags
3f8129cb-d8ab-4a9c-8d5d-c7697359f748;CH;2029-10-08;2029-10-20;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
21e13f7a-a049-4582-b938-4515643081b3;CH;2029-10-08;2029-10-20;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
ec8a0d3f-853a-406e-8c60-fb27b3faa326;CH;2029-12-24;2030-01-05;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
9fd2942b-706a-4978-b6b4-4e04325a4ab6;CH;2030-04-19;2030-04-22;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
58677d20-89a1-422e-86f0-d2d06e5af8a6;CH;2030-04-19;2030-04-22;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
af6d582f-ea4f-459e-a867-d4951be1b0af;CH;2030-04-22;2030-05-04;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
3dd406d9-87a9-4314-bad9-5efa08978588;CH;2030-04-22;2030-05-04;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
d60b1e20-3298-4978-8cea-bf40c1dde0bd;CH;2030-05-30;2030-06-01;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
9eed2156-9896-4643-810a-3b3c42a39f28;CH;2030-07-15;2030-08-17;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
9f83ee83-382d-4a7b-a1ca-0aa5d167c1b5;CH;2030-10-07;2030-10-19;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
